age,apps,first_name,full_name,height,last_name,played_positions,position,ranking,rating,team_name,team_region_name,weight
32,3,Rafal,Rafal Gikiewicz,190,Gikiewicz,-GK-,Goalkeeper,109,7.466666666666668,Augsburg,Germany,82
26,4,Luis,Luis Milla,175,Milla,,Midfielder,110,7.465,Granada,Spain,67
29,3,Marten,Marten de Roon,185,de Roon,-DMC-,Midfielder,111,7.460000000000001,Atalanta,Italy,76
32,4,Karim,Karim Benzema,185,Benzema,-FW-,Forward,112,7.459999999999999,Real Madrid,Spain,81
23,3,Jose Angel,Angeliño,175,Esmoris Tasende,-DL-ML-,Defender,113,7.456666666666666,RasenBallsport Leipzig,Germany,69
20,2,Jean-Manuel,Jean-Manuel Mbom,183,Mbom,,Midfielder,114,7.455,Werder Bremen,Germany,80
28,3,Emil,Emil Forsberg,177,Forsberg,-AMC-AML-AMR-,Forward,115,7.449999999999999,RasenBallsport Leipzig,Germany,76
37,2,Franck,Franck Ribéry,170,Ribéry,-AMC-AML-FW-,Midfielder,116,7.44,Fiorentina,Italy,72
24,3,Daichi,Daichi Kamada,180,Kamada,-AMC-AMR-FW-,Midfielder,117,7.436666666666667,Eintracht Frankfurt,Germany,72
21,6,Ignatius,Ignatius Ganago,179,Ganago,-AML-AMR-FW-,Forward,118,7.433333333333334,Lens,France,82
20,6,Sven,Sven Botman,193,Botman,-DC-,Defender,119,7.4316666666666675,Lille,France,81
24,6,Fabien,Fabien Centonze,182,Centonze,-DR-,Defender,120,7.428333333333332,Metz,France,75
24,2,Fabián,Fabián Ruiz,189,Ruiz,-MC-ML-,Midfielder,121,7.42,Napoli,Italy,70
27,4,Mauro,Mauro Icardi,181,Icardi,-FW-,Forward,122,7.42,Paris Saint-Germain,France,75
26,3,Arthur,Arthur Masuaku,179,Masuaku,-DL-ML-,Defender,123,7.416666666666667,West Ham,England,70
21,2,Rafael Alexandre,Rafael Leão,188,da Conceição Leão,-FW-,Forward,124,7.415,AC Milan,Italy,81
26,3,Hans,Hans Hateboer,185,Hateboer,-DR-MR-,Defender,125,7.413333333333333,Atalanta,Italy,72
21,3,Mason,Mason Mount,178,Mount,-AMC-AML-AMR-,Midfielder,126,7.413333333333333,Chelsea,England,70
30,2,Josuha,Josuha Guilavogui,188,Guilavogui,-DC-MC-,Midfielder,127,7.405,Wolfsburg,Germany,77
34,4,Sergio,Sergio Ramos,184,Ramos,-DC-DR-,Defender,128,7.4,Real Madrid,Spain,82
23,3,Iago Amaral,Iago,181,Borduchi,-DL-,Defender,129,7.3999999999999995,Augsburg,Germany,67
